Course ID,Name,Description,Providers,Web URL,Related spaces,Topics,Skills,Roles,Tags,Lessons,Goals
azure-llmops-workshop,LLMOps Workshop (Azure),Hands-on labs cover the end-to-end LLMOps workflow from prompt design to monitored deployment on Azure services.,Microsoft,https://microsoft.github.io/llmops-workshop/,AI,Lifecycle; Prompting; Benchmarks; Observability and tracing; Deployment and serving; Automation; Content safety,Azure AI Studio navigation; Azure OpenAI model deployment; Open-source LLM deployment (Azure); Prompt Playground experimentation; Content Safety configuration; Prompt Flow creation; Prompt Flow orchestration; Classification flow build (Prompt Flow); RAG flow build (Prompt Flow + Azure AI Search); Search index setup (Azure AI Search); Flow runtime & connections (Azure OpenAI); RAG flow evaluation (Prompt Flow); Groundedness evaluation flow; Evaluation dataset preparation; Managed endpoint deployment; Post-deploy validation; LLM monitoring enablement; Monitoring metrics preparation; Content Safety tool integration; Conditional safety routing (Prompt Flow); Operational debugging; GitHub Actions CI/CD setup; Automated PR evaluation pipeline; Golden dataset evaluation gate; CI build + CD deploy (Prompt Flow); Release workflow (branching/versioning); Model benchmarking; Quality/cost tradeoff analysis; Model selection workflow; Load testing; Latency/throughput measurement; Scaling analysis,Governance lead; Platform engineer; LLM application engineer; Technical product manager; Evaluation engineer; ML engineer; LLMOps engineer,LLMOps; Azure; Prompt flow; RAG; Evaluation; Monitoring; CI/CD; Content safety,1. Lab 01: introduction to LLMs and Azure AI services; 2. Lab 02: building LLM orchestration flows; 3. Lab 03: evaluating and deploying LLMs; 4. Lab 04: monitoring and responsible AI; 5. Lab 05: automating everything (CI/CD); 6. Extra: benchmarking Azure OpenAI models; 7. Extra: performance evaluation / load testing,Build and evaluate prompt flows for real LLM use cases; Deploy monitored Azure endpoints with safety controls; Automate CI/CD quality gates for LLM workflows
gcp-llmops-overview,LLMOps on Google Cloud,Practical guidance outlines an LLMOps lifecycle and maps each phase to core Google Cloud capabilities.,Google Cloud,https://cloud.google.com/discover/what-is-llmops,AI,Lifecycle; Data; Training; Deployment and serving; Observability and tracing; Governance and risk,LLMOps lifecycle mapping; LLMOps best-practice framing; Vertex AI Model Registry usage; Model versioning & lineage; Model lifecycle promotion; Vertex AI Pipelines orchestration; Pipeline automation; Pipeline parameterization; Vertex AI model evaluation; Metric selection; Model comparison; Vertex AI model monitoring; Drift detection; Alerting configuration,Platform engineer; Technical product manager; LLM application engineer; Evaluation engineer; LLMOps engineer,LLMOps; Google Cloud; Vertex AI; Model registry; Pipelines; Evaluation; Monitoring; Governance,1. What is LLMOps (overview); 2. Vertex AI model registry (lifecycle management); 3. Vertex AI pipelines (automation); 4. Vertex AI model evaluation (overview); 5. Vertex AI model monitoring (overview),"Map LLMOps lifecycle stages to Google Cloud services; Configure model registry, pipelines, and evaluation workflows; Operate production monitoring with drift and alerting controls"
aws-llmops-workshop,LLMOps Workshop (SageMaker open LLM),"Workshop materials walk through building, evaluating, and deploying LLM applications on AWS components.",AWS Samples,https://github.com/aws-samples/llmops-workshop,AI,Lifecycle; Post-training (QLoRA); Orchestration and workflows; Observability and tracing; Benchmarks; RAG; Deployment and serving,SageMaker Model Registry registration; Model package governance; Lifecycle state management; SageMaker fine-tuning job; QLoRA fine-tuning; Model deployment (SageMaker Hosting); SageMaker Pipelines workflow; Training pipeline automation; CI/CD integration (CodePipeline); SageMaker Model Monitor configuration; Monitoring schedule setup; BYOC monitoring; JumpStart embeddings deployment; Embedding generation; Vector store setup (OpenSearch); Document ingestion for RAG; LangChain RAG application; Vector DB querying (OpenSearch); Streamlit chatbot UI,Governance lead; Technical product manager; Platform engineer; ML engineer; LLM application engineer; LLMOps engineer,LLMOps; AWS; SageMaker; QLoRA; Pipelines; RAG; Monitoring; Deployment,1. Lab 0: register base model (notebook); 2. Lab 1: finetune llama2 with QLoRA (notebook); 3. Lab 2: build SageMaker pipeline for LLM (notebook); 4. Lab 3: foundation model monitoring (folder); 5. Lab 4: JumpStart embeddings (notebook); 6. Lab 5: knowledge base chatbot (notebook),"Implement SageMaker LLM workflows from registration to deployment; Build repeatable pipelines for training, monitoring, and RAG; Operate production checks with evaluation and observability"
aws-llmops-blog-series,Operationalize GenAI apps with LLMOps (blog series),"Short posts explain implementation choices for prompt design, observability, and production operations on AWS.",AWS,https://aws.amazon.com/blogs/gametech/operationalize-generative-ai-applications-on-aws-part-i-overview-of-llmops-solution/,AI,Lifecycle; Deployment and serving; CI CD; Governance and risk; Cost and performance,LLMOps reference architecture review; Service-to-lifecycle mapping; Foundation model evaluation (Clarify); Automatic vs human eval workflows; fmeval-based evaluation; Model Monitor setup; LLM monitoring (BYOC); Monitoring schedule operations; Clarify + fmeval evaluation workflow; Evaluation reporting,Platform engineer; Technical product manager; Governance lead; Evaluation engineer; LLM application engineer; LLMOps engineer,LLMOps; AWS; Reference architecture; Evaluation; Governance; Reliability; Cost and performance,1. LLMOps Solution overview (part i); 2. SageMaker Clarify: get started with model evaluations; 3. SageMaker Model monitor (examples index); 4. SageMaker Clarify and fmeval (re:Post article),Understand AWS reference patterns for production LLMOps; Compare evaluation options for quality and safety decisions; Plan governance and operating controls for long-lived GenAI systems
databricks-llmops,LLMOps on Databricks,"Applied guidance covers data prep, fine-tuning, evaluation, and serving patterns for enterprise LLM use cases.",Databricks,https://www.databricks.com/glossary/llmops,AI,Lifecycle; Prompting; Experiment tracking; Benchmarks; Deployment and serving; Cost and performance,LLMOps lifecycle framing (Databricks); Agent evaluation (MLflow); Agent monitoring; Trace logging; LLMOps implementation (Azure Databricks); Experiment/prompt tracking (MLflow); GenAI app deployment; Governance controls; LLMOps implementation patterns (Azure Databricks); Operational lifecycle setup,Platform engineer; Technical product manager; Evaluation engineer; LLMOps engineer; LLM application engineer; Governance lead,LLMOps; Databricks; MLflow; Agent evaluation; Monitoring; Governance; Deployment,1. Databricks LLMOps overview; 2. Evaluate and monitor AI agents (MLflow for GenAI); 3. Implement LLMOps with Azure Databricks (Lab); 4. Microsoft Learn module: implement LLMOps with Azure Databricks,Design MLflow-centered LLMOps workflows on Databricks; Evaluate and monitor GenAI agents with trace-based insights; Apply governance and lifecycle controls for enterprise rollouts
ibm-llmops,LLMOps (IBM Think),Reference content presents an operational approach for governing and delivering LLM applications in enterprise teams.,IBM,https://www.ibm.com/think/topics/llmops,AI,Lifecycle; Prompting; Experiment tracking; Orchestration and workflows; Governance and risk,LLMOps definition & lifecycle framing; LLMOps vs MLOps comparison; watsonx LLMOps workflow framing; Enterprise governance planning; Agentic workflow design; Agent/tool orchestration; Governance for agentic systems; AI governance & risk controls; Compliance/audit processes,Platform engineer; Technical product manager; Governance lead; LLM application engineer,LLMOps; IBM; watsonx; Governance; Risk; Agentic workflows; Enterprise AI,1. IBM: What are large language model operations (LLMOps)?; 2. IBM MLOps guide: introducing watsonx; 3. IBM Community: build an agentic LLMOps stack with watsonx; 4. IBM MLOps guide: AI governance,Understand enterprise LLMOps principles and operating models; Design governed agentic workflows with risk controls; Align compliance and delivery practices for production AI
oracle-llmops,LLMOps (Oracle),"Practical tutorials show how to develop, secure, and run LLM services using Oracle cloud tooling.",Oracle,https://www.oracle.com/artificial-intelligence/llmops/,AI,Lifecycle; Observability and tracing; Deployment and serving; Cost and performance,LLMOps overview (Oracle); OCI service mapping for LLMOps; BYOC serving deployment (OCI Data Science); Containerized LLM serving (vLLM); Observability dashboarding; Logs/metrics/traces analysis; Alerting configuration; CI/CD observability; DevOps pipeline performance monitoring,LLMOps engineer; Platform engineer; Technical product manager; ML engineer,LLMOps; Oracle; OCI; BYOC; vLLM; Monitoring; DevOps,1. Oracle: what is LLMOps? (overview); 2. Deploy LLM on OCI data science using byoc (vLLM); 3. OCI Monitoring service overview (official docs); 4. Monitoring OCI DevOps performance (a-team guide),Deploy and serve LLM workloads on OCI with BYOC patterns; Instrument monitoring and alerting for LLM services; Operate CI/CD and observability for reliable production delivery
hf-open-llmops-primitives,Open LLMOps primitives (HF ecosystem),"Open-source lessons explain foundational building blocks for training, adaptation, and lifecycle management.",Hugging Face,https://huggingface.co/docs/trl/index,AI,Ecosystem primitives; PEFT; Distributed training; Post training,RLHF training (TRL); DPO preference optimization; Transformers + TRL integration; PEFT fine-tuning; LoRA adapter training; Adapter merge/export; Distributed training (Accelerate); Multi-GPU launch; Mixed-precision tuning; Transformers pipelines inference; Task selection (pipeline API); Device placement (CPU/GPU),ML engineer; LLM application engineer; Platform engineer; Technical product manager,LLMOps; Hugging Face; TRL; PEFT; LoRA; Accelerate; Post training,1. TRL (Transformer reinforcement learning) docs index; 2. PEFT Docs index; 3. Accelerate docs index; 4. Transformers pipeline tutorial (inference primitive),"Use open training primitives for post-training and adaptation; Apply PEFT, TRL, and Accelerate in practical workflows; Connect training outputs to reproducible inference pipelines"
eleutherai-eval,LLMOps Evaluation harness,Community resources focus on rigorous evaluation workflows and reproducible benchmarking for language models.,EleutherAI,https://github.com/EleutherAI/lm-evaluation-harness,AI,Benchmarks; Regression testing; Reproducibility,Benchmark execution (lm-eval-harness); Reproducible evaluation runs; Task configuration; Prompt template authoring; Custom metric configuration; Model backend configuration; Serving backend integration for evals; CLI-driven evaluation workflow; Batching/performance tuning for evals,Evaluation engineer; LLM application engineer; Platform engineer,LLMOps; EleutherAI; Benchmarking; Evaluation harness; Reproducibility; Regression testing,1. Lm-evaluation-harness repository (core); 2. Lm-evaluation-harness: task guide (docs); 3. Lm-evaluation-harness: models/backends config; 4. Lm-evaluation-harness: CLI usage / getting started,"Run reproducible benchmark suites across model variants; Configure tasks, prompts, and scoring for reliable comparisons; Integrate evaluation runs into ongoing regression testing"
vllm-serving,vLLM Serving & OpenAI-compatible API,"Technical guides cover efficient inference serving, scaling strategies, and deployment integrations for vLLM.",vLLM Project,https://docs.vllm.ai/,AI,Deployment and serving; Performance; OpenAI-compatible endpoints,vLLM installation & setup; Efficient inference serving; OpenAI-compatible server (vLLM); API endpoint configuration; Source build & dependency management; Upstream contribution workflow; Production deployment patterns (vLLM); Operational serving configuration,Evaluation engineer; Platform engineer; ML engineer; LLM application engineer; LLMOps engineer,LLMOps; vLLM; Inference serving; OpenAI-compatible API; Performance; Deployment,1. vLLM Docs (landing); 2. OpenAI-compatible server (docs); 3. vLLM GitHub repository; 4. vLLM: Serving guides index,Deploy high-throughput inference with vLLM serving patterns; Expose and operate OpenAI-compatible endpoints in production; Tune serving performance for latency and cost tradeoffs
