Name,Description,Stages,Topics,Lesson number,Courses,Related spaces,Skills,Tags,Roles,Web URL
LLMOps Solution overview (part i),"Introduces an AWS LLMOps reference architecture, lifecycle phases (CI/CD/CT), and game-industry use cases for generative AI operations.",Foundations; Build,Foundations and Lifecycle; Automation; Deployment and serving,1,aws-llmops-blog-series,,LLMOps reference architecture review; Service-to-lifecycle mapping,AWS; Reference architecture; Blog; LLMOps solution,Platform engineer; Technical product manager,https://aws.amazon.com/blogs/gametech/operationalize-generative-ai-applications-on-aws-part-i-overview-of-llmops-solution/
SageMaker Clarify: get started with model evaluations,"Shows how to start foundation-model evaluations in SageMaker Clarify using human review, Studio algorithms, or customizable fmeval workflows.",Evaluate; Operate,Evaluation and Testing; Safety,2,aws-llmops-blog-series,,Foundation model evaluation (Clarify); Automatic vs human eval workflows; fmeval-based evaluation,AWS; SageMaker Clarify; Fmeval; Evaluation; Responsible AI,Governance lead; Evaluation engineer; LLM application engineer,https://docs.aws.amazon.com/sagemaker/latest/dg/clarify-foundation-model-evaluate-get-started.html
SageMaker Model monitor (examples index),"Provides a Model Monitor examples index covering quality, bias, explainability, and LLM monitoring workflows in SageMaker.",Operate,Observability and tracing,3,aws-llmops-blog-series,,Model Monitor setup; LLM monitoring (BYOC); Monitoring schedule operations,AWS; SageMaker Model Monitor; LLM monitoring; BYOC; Monitoring schedule,LLMOps engineer; Platform engineer,https://sagemaker-examples.readthedocs.io/en/latest/sagemaker_model_monitor/index.html
SageMaker Clarify and fmeval (re:Post article),"Explains how SageMaker Clarify and the fmeval library accelerate foundation-model evaluation, comparison, and selection across LLMs.",Evaluate,Evaluation and Testing,4,aws-llmops-blog-series,,Clarify + fmeval evaluation workflow; Evaluation reporting,AWS; SageMaker Clarify; Fmeval; Re:Post; Evaluation,Evaluation engineer; LLM application engineer,https://repost.aws/articles/ARXsxgLFa7R-uw8TgUo1fDJg/accelerate-foundation-model-evaluation-with-amazon-sagemaker-clarify-and-fmeval
Lab 0: register base model (notebook),"Introduces registering a base LLM in SageMaker Model Registry, including model artifact handling and foundational registry setup.",Foundations; Build,Model registry and versioning; Foundations and Lifecycle,1,aws-llmops-workshop,,SageMaker Model Registry registration; Model package governance; Lifecycle state management,AWS; Amazon SageMaker; Model registry; Workshop; Notebook,Governance lead; Technical product manager,https://github.com/aws-samples/llmops-workshop/blob/main/lab0-register-base-model.ipynb
Lab 1: finetune llama2 with QLoRA (notebook),"Covers fine-tuning Llama 2 on SageMaker with QLoRA, including dataset preparation and efficient parameter-tuning workflows.",Build,Post training; Deployment and serving,2,aws-llmops-workshop,,SageMaker fine-tuning job; QLoRA fine-tuning; Model deployment (SageMaker Hosting),AWS; Amazon SageMaker; Llama 2; QLoRA; Fine-tuning; Notebook,Platform engineer; ML engineer,https://github.com/aws-samples/llmops-workshop/blob/main/lab1-sagemaker-finetune-llama2-qlora.ipynb
Lab 2: build SageMaker pipeline for LLM (notebook),Builds an automated SageMaker Pipeline for LLM training and deployment with parameterized steps and repeatable execution.,Build,Orchestration and workflows; Automation; Deployment and serving,3,aws-llmops-workshop,,SageMaker Pipelines workflow; Training pipeline automation; CI/CD integration (CodePipeline),AWS; SageMaker Pipelines; CodePipeline; Automation; Notebook,Platform engineer; LLM application engineer; ML engineer,https://github.com/aws-samples/llmops-workshop/blob/main/lab2-sagemaker-pipeline-llm.ipynb
Lab 3: foundation model monitoring (folder),"Shows foundation-model monitoring with SageMaker Model Monitor, including custom drift metrics and live endpoint quality checks.",Operate,Observability and tracing,4,aws-llmops-workshop,,SageMaker Model Monitor configuration; Monitoring schedule setup; BYOC monitoring,AWS; SageMaker Model Monitor; LLM monitoring; BYOC; Observability,LLMOps engineer,https://github.com/aws-samples/llmops-workshop/tree/main/lab3-sagemaker-fm-monitoring
Lab 4: JumpStart embeddings (notebook),"Introduces SageMaker JumpStart text-embedding workflows for selecting models, deploying endpoints, and querying embedding outputs.",Build,Retrieval augmented generation; Deployment and serving,5,aws-llmops-workshop,,JumpStart embeddings deployment; Embedding generation; Vector store setup (OpenSearch),AWS; SageMaker JumpStart; Embeddings; OpenSearch Serverless; RAG; Notebook,Platform engineer; LLM application engineer,https://github.com/aws-samples/llmops-workshop/blob/main/lab4-sagemaker-jumpstart-embeddings.ipynb
Lab 5: knowledge base chatbot (notebook),Builds a vector knowledge base and chatbot workflow with OpenSearch and a SageMaker-hosted Llama 2 model.,Build,Retrieval augmented generation; Orchestration and workflows; Deployment and serving,6,aws-llmops-workshop,,Document ingestion for RAG; LangChain RAG application; Vector DB querying (OpenSearch); Streamlit chatbot UI,AWS; OpenSearch Serverless; LangChain; Streamlit; RAG; Chatbot; Notebook,Platform engineer; LLM application engineer,https://github.com/aws-samples/llmops-workshop/blob/main/lab5-knowledge-base-chatbot.ipynb
Lab 01: introduction to LLMs and Azure AI services,"Introduces Azure AI services for LLM apps, including project setup, model deployment, playground prompting, and foundational prompt-flow concepts.",Foundations; Build; Operate,Foundations and Lifecycle; Deployment and serving; Safety; Orchestration and workflows,1,azure-llmops-workshop,,Azure AI Studio navigation; Azure OpenAI model deployment; Open-source LLM deployment (Azure); Prompt Playground experimentation; Content Safety configuration; Prompt Flow creation,Azure; Azure AI Studio; Azure OpenAI; Llama 2; Prompt flow; Content safety; Hands-on; Beginner,Governance lead; Platform engineer; LLM application engineer; Technical product manager,https://microsoft.github.io/llmops-workshop/labs/lesson_01/lab01.html
