Name,Description,Stages,Topics,Lesson number,Courses,Related spaces,Skills,Tags,Roles,Web URL
LLMOps solution overview (Part I),"Introduces an AWS LLMOps reference architecture, lifecycle phases (CI/CD/CT), and game-industry use cases for generative AI operations.",,,1,aws-llmops-blog-series,,,"architecture,lifecycle",,https://aws.amazon.com/blogs/gametech/operationalize-generative-ai-applications-on-aws-part-i-overview-of-llmops-solution/
SageMaker Clarify: Get started with model evaluations,"Shows how to start foundation-model evaluations in SageMaker Clarify using human review, Studio algorithms, or customizable fmeval workflows.",,,2,aws-llmops-blog-series,,,evaluation,,https://docs.aws.amazon.com/sagemaker/latest/dg/clarify-foundation-model-evaluate-get-started.html
SageMaker Model Monitor (examples index),"Provides a Model Monitor examples index covering quality, bias, explainability, and LLM monitoring workflows in SageMaker.",,,3,aws-llmops-blog-series,,,monitoring,,https://sagemaker-examples.readthedocs.io/en/latest/sagemaker_model_monitor/index.html
SageMaker Clarify + fmeval (re:Post article),"Explains how SageMaker Clarify and the fmeval library accelerate foundation-model evaluation, comparison, and selection across LLMs.",,,4,aws-llmops-blog-series,,,"evaluation,tooling",,https://repost.aws/articles/ARXsxgLFa7R-uw8TgUo1fDJg/accelerate-foundation-model-evaluation-with-amazon-sagemaker-clarify-and-fmeval
Lab 0: Register base model (notebook),"Introduces registering a base LLM in SageMaker Model Registry, including model artifact handling and foundational registry setup.",,,1,aws-llmops-workshop,,,"model-registry,lifecycle",,https://github.com/aws-samples/llmops-workshop/blob/main/lab0-register-base-model.ipynb
Lab 1: Finetune Llama2 with QLoRA (notebook),"Covers fine-tuning Llama 2 on SageMaker with QLoRA, including dataset preparation and efficient parameter-tuning workflows.",,,2,aws-llmops-workshop,,,"post-training,qlora,peft",,https://github.com/aws-samples/llmops-workshop/blob/main/lab1-sagemaker-finetune-llama2-qlora.ipynb
Lab 2: Build SageMaker pipeline for LLM (notebook),Builds an automated SageMaker Pipeline for LLM training and deployment with parameterized steps and repeatable execution.,,,3,aws-llmops-workshop,,,"pipelines,automation",,https://github.com/aws-samples/llmops-workshop/blob/main/lab2-sagemaker-pipeline-llm.ipynb
Lab 3: Foundation model monitoring (folder),"Shows foundation-model monitoring with SageMaker Model Monitor, including custom drift metrics and live endpoint quality checks.",,,4,aws-llmops-workshop,,,"monitoring,observability",,https://github.com/aws-samples/llmops-workshop/tree/main/lab3-sagemaker-fm-monitoring
Lab 4: JumpStart embeddings (notebook),"Introduces SageMaker JumpStart text-embedding workflows for selecting models, deploying endpoints, and querying embedding outputs.",,,5,aws-llmops-workshop,,,"embeddings,retrieval",,https://github.com/aws-samples/llmops-workshop/blob/main/lab4-sagemaker-jumpstart-embeddings.ipynb
Lab 5: Knowledge base chatbot (notebook),Builds a vector knowledge base and chatbot workflow with OpenSearch and a SageMaker-hosted Llama 2 model.,,,6,aws-llmops-workshop,,,"rag,app-integration",,https://github.com/aws-samples/llmops-workshop/blob/main/lab5-knowledge-base-chatbot.ipynb
Lab 01: Introduction to LLMs and Azure AI Services,"Introduces Azure AI services for LLM apps, including project setup, model deployment, playground prompting, and foundational prompt-flow concepts.",,,1,azure-llmops-workshop,,,"lifecycle,intro",,https://microsoft.github.io/llmops-workshop/labs/lesson_01/lab01.html
Lab 02: Building LLM Orchestration Flows,"Builds LLM orchestration flows in Azure AI Studio, including conversational and retrieval-augmented generation (RAG) workflow patterns.",,,2,azure-llmops-workshop,,,"orchestration,prompt-management",,https://microsoft.github.io/llmops-workshop/labs/lesson_02/lab02.html
