lesson_id,course_id,lesson_num,Name,Web URL,Skills,Topics,Tags
az-01,azure-llmops-workshop,1,Lab 01: Introduction to LLMs and Azure AI Services,https://microsoft.github.io/llmops-workshop/labs/lesson_01/lab01.html,Azure AI Studio navigation; Azure OpenAI model deployment; Open-source LLM deployment (Azure); Prompt Playground experimentation; Content Safety configuration; Prompt Flow creation,Foundations & Lifecycle; Deployment & Serving; Safety & Responsible AI; Orchestration & Workflows,Azure; Prompt Flow; Azure AI Studio; Lifecycle; Intro; Hands-on
az-02,azure-llmops-workshop,2,Lab 02: Building LLM Orchestration Flows,https://microsoft.github.io/llmops-workshop/labs/lesson_02/lab02.html,Prompt Flow orchestration; Classification flow build (Prompt Flow); RAG flow build (Prompt Flow + Azure AI Search); Search index setup (Azure AI Search); Flow runtime & connections (Azure OpenAI),Orchestration & Workflows; Retrieval-Augmented Generation (RAG); Prompting & Prompt Management,Azure; Prompt Flow; Azure AI Studio; Azure AI Search; Orchestration; Prompt management
az-03,azure-llmops-workshop,3,Lab 03: Evaluating and Deploying LLMs,https://microsoft.github.io/llmops-workshop/labs/lesson_03/lab03.html,RAG flow evaluation (Prompt Flow); Groundedness evaluation flow; Evaluation dataset preparation; Managed endpoint deployment; Post-deploy validation,Evaluation & Testing; Deployment & Serving; Retrieval-Augmented Generation (RAG),Azure; Prompt Flow; Azure AI Studio; Evaluation; Deployment; RAG
az-04,azure-llmops-workshop,4,Lab 04: Monitoring and Responsible AI,https://microsoft.github.io/llmops-workshop/labs/lesson_04/lab04.html,LLM monitoring enablement; Monitoring metrics preparation; Content Safety tool integration; Conditional safety routing (Prompt Flow); Operational debugging,Monitoring & Observability; Safety & Responsible AI,Azure; Prompt Flow; Monitoring; Observability; Content safety; Hands-on
az-05,azure-llmops-workshop,5,Lab 05: Automating Everything (CI/CD),https://microsoft.github.io/llmops-workshop/labs/lesson_05/lab05.html,GitHub Actions CI/CD setup; Automated PR evaluation pipeline; Golden dataset evaluation gate; CI build + CD deploy (Prompt Flow); Release workflow (branching/versioning),CI/CD & Release Automation; Evaluation & Testing; Deployment & Serving,Azure; Prompt Flow; GitHub Actions; Automation; CI/CD; Hands-on
az-06,azure-llmops-workshop,6,Extra: Benchmarking Azure OpenAI Models,https://microsoft.github.io/llmops-workshop/labs/performance/docs/AOAI_BENCH_TOOL.html,Model benchmarking; Quality/cost tradeoff analysis; Model selection workflow,Evaluation & Testing; Performance & Load Testing,Azure; Azure OpenAI; Performance; Evaluation; Benchmarking
az-07,azure-llmops-workshop,7,Extra: Performance Evaluation / Load Testing,https://microsoft.github.io/llmops-workshop/labs/performance/docs/PERFTEST_CONCEPTS.html,Load testing; Latency/throughput measurement; Scaling analysis,Performance & Load Testing; Deployment & Serving,Azure; Performance; Load testing
gcp-01,gcp-llmops-overview,1,What is LLMOps (overview),https://cloud.google.com/discover/what-is-llmops,LLMOps lifecycle mapping; LLMOps best-practice framing,Foundations & Lifecycle,Google Cloud; Lifecycle; Definition; Conceptual
gcp-02,gcp-llmops-overview,2,Vertex AI Model Registry (lifecycle management),https://docs.cloud.google.com/vertex-ai/docs/model-registry/introduction,Vertex AI Model Registry usage; Model versioning & lineage; Model lifecycle promotion,Model Registry & Versioning; Foundations & Lifecycle,Google Cloud; Vertex AI; Model registry; Versioning
gcp-03,gcp-llmops-overview,3,Vertex AI Pipelines (automation),https://docs.cloud.google.com/vertex-ai/docs/pipelines/introduction,Vertex AI Pipelines orchestration; Pipeline automation; Pipeline parameterization,Orchestration & Workflows; CI/CD & Release Automation,Google Cloud; Vertex AI Pipelines; Pipelines; Automation
