Skill,Description,Description status
Azure AI Studio navigation,"Defines and sequences the major phases needed to build, ship, and maintain an LLM application.",draft
Azure OpenAI model deployment,Deploys and configures managed AI services so teams can test and iterate quickly.,draft
Open-source LLM deployment (Azure),"Provisions and tunes model endpoints for stable, scalable online inference.",draft
Prompt Playground experimentation,Uses interactive tools to prototype prompts and compare behavior across model settings.,draft
Content Safety configuration,Implements safeguards that detect or block unsafe model inputs and outputs.,draft
Prompt Flow creation,Uses prompt flow creation to shape model behavior and improve response quality for specific tasks.,draft
Prompt Flow orchestration,"Builds prompt flow orchestration to connect steps into repeatable, automated LLMOps processes.",draft
Classification flow build (Prompt Flow),Uses classification flow build (prompt flow) to shape model behavior and improve response quality for specific tasks.,draft
RAG flow build (Prompt Flow + Azure AI Search),Implements rag flow build (prompt flow + azure ai search) to ground model responses in external data and improve answer relevance.,draft
Search index setup (Azure AI Search),Sets up search index setup (azure ai search) so the workflow can run reliably in local or production environments.,draft
Flow runtime & connections (Azure OpenAI),"Applies flow runtime & connections (azure openai) as a practical LLMOps capability for building, operating, and improving production AI systems.",draft
RAG flow evaluation (Prompt Flow),"Runs rag flow evaluation (prompt flow) to measure quality, compare alternatives, and guide release decisions.",draft
Groundedness evaluation flow,"Runs groundedness evaluation flow to measure quality, compare alternatives, and guide release decisions.",draft
Evaluation dataset preparation,"Runs evaluation dataset preparation to measure quality, compare alternatives, and guide release decisions.",draft
Managed endpoint deployment,"Executes managed endpoint deployment to deliver models and features as stable, scalable services.",draft
Post-deploy validation,"Runs post-deploy validation to measure quality, compare alternatives, and guide release decisions.",draft
LLM monitoring enablement,"Implements llm monitoring enablement to track system health, detect issues early, and support ongoing operations.",draft
Monitoring metrics preparation,"Implements monitoring metrics preparation to track system health, detect issues early, and support ongoing operations.",draft
Content Safety tool integration,"Applies content safety tool integration to keep LLM systems aligned with policy, safety requirements, and audit needs.",draft
Conditional safety routing (Prompt Flow),"Applies conditional safety routing (prompt flow) to keep LLM systems aligned with policy, safety requirements, and audit needs.",draft
Operational debugging,Uses operational debugging to diagnose failures quickly and improve reliability across iterations.,draft
GitHub Actions CI/CD setup,Sets up github actions ci/cd setup so the workflow can run reliably in local or production environments.,draft
Automated PR evaluation pipeline,"Runs automated pr evaluation pipeline to measure quality, compare alternatives, and guide release decisions.",draft
Golden dataset evaluation gate,"Runs golden dataset evaluation gate to measure quality, compare alternatives, and guide release decisions.",draft
CI build + CD deploy (Prompt Flow),Uses ci build + cd deploy (prompt flow) to shape model behavior and improve response quality for specific tasks.,draft
Release workflow (branching/versioning),"Builds release workflow (branching/versioning) to connect steps into repeatable, automated LLMOps processes.",draft
Model benchmarking,"Runs model benchmarking to measure quality, compare alternatives, and guide release decisions.",draft
Quality/cost tradeoff analysis,"Applies quality/cost tradeoff analysis as a practical LLMOps capability for building, operating, and improving production AI systems.",draft
Model selection workflow,"Builds model selection workflow to connect steps into repeatable, automated LLMOps processes.",draft
Load testing,"Applies load testing as a practical LLMOps capability for building, operating, and improving production AI systems.",draft
Latency/throughput measurement,"Applies latency/throughput measurement as a practical LLMOps capability for building, operating, and improving production AI systems.",draft
Scaling analysis,"Applies scaling analysis as a practical LLMOps capability for building, operating, and improving production AI systems.",draft
LLMOps lifecycle mapping,"Applies llmops lifecycle mapping as a practical LLMOps capability for building, operating, and improving production AI systems.",draft
LLMOps best-practice framing,"Applies llmops best-practice framing as a practical LLMOps capability for building, operating, and improving production AI systems.",draft
Vertex AI Model Registry usage,"Manages vertex ai model registry usage so teams can trace changes, reproduce results, and control releases.",draft
Model versioning & lineage,"Manages model versioning & lineage so teams can trace changes, reproduce results, and control releases.",draft
Model lifecycle promotion,"Applies model lifecycle promotion as a practical LLMOps capability for building, operating, and improving production AI systems.",draft
Vertex AI Pipelines orchestration,"Builds vertex ai pipelines orchestration to connect steps into repeatable, automated LLMOps processes.",draft
Pipeline automation,"Builds pipeline automation to connect steps into repeatable, automated LLMOps processes.",draft
Pipeline parameterization,"Builds pipeline parameterization to connect steps into repeatable, automated LLMOps processes.",draft
Vertex AI model evaluation,"Runs vertex ai model evaluation to measure quality, compare alternatives, and guide release decisions.",draft
Metric selection,"Runs metric selection to measure quality, compare alternatives, and guide release decisions.",draft
Model comparison,"Applies model comparison as a practical LLMOps capability for building, operating, and improving production AI systems.",draft
Vertex AI model monitoring,"Implements vertex ai model monitoring to track system health, detect issues early, and support ongoing operations.",draft
Drift detection,"Applies drift detection as a practical LLMOps capability for building, operating, and improving production AI systems.",draft
Alerting configuration,"Implements alerting configuration to track system health, detect issues early, and support ongoing operations.",draft
SageMaker Model Registry registration,"Manages sagemaker model registry registration so teams can trace changes, reproduce results, and control releases.",draft
Model package governance,"Applies model package governance to keep LLM systems aligned with policy, safety requirements, and audit needs.",draft
Lifecycle state management,"Applies lifecycle state management as a practical LLMOps capability for building, operating, and improving production AI systems.",draft
SageMaker fine-tuning job,Performs sagemaker fine-tuning job to adapt base models for domain-specific performance and constraints.,draft
QLoRA fine-tuning,Performs qlora fine-tuning to adapt base models for domain-specific performance and constraints.,draft
Model deployment (SageMaker Hosting),"Executes model deployment (sagemaker hosting) to deliver models and features as stable, scalable services.",draft
SageMaker Pipelines workflow,"Builds sagemaker pipelines workflow to connect steps into repeatable, automated LLMOps processes.",draft
Training pipeline automation,"Builds training pipeline automation to connect steps into repeatable, automated LLMOps processes.",draft
CI/CD integration (CodePipeline),"Builds ci/cd integration (codepipeline) to connect steps into repeatable, automated LLMOps processes.",draft
